名称,citycode
中华人民共和国,
北京市,10
北京市市辖区,10
东城区,10
西城区,10
朝阳区,10
丰台区,10
石景山区,10
海淀区,10
门头沟区,10
房山区,10
通州区,10
顺义区,10
昌平区,10
大兴区,10
怀柔区,10
平谷区,10
密云区,10
延庆区,10
天津市,22
天津市市辖区,22
和平区,22
河东区,22
河西区,22
南开区,22
河北区,22
红桥区,22
东丽区,22
西青区,22
津南区,22
北辰区,22
武清区,22
宝坻区,22
滨海新区,22
宁河区,22
静海区,22
蓟州区,22
河北省,
石家庄市,311
石家庄市市辖区,311
长安区,311
桥西区,311
新华区,311
井陉矿区,311
裕华区,311
藁城区,311
鹿泉区,311
栾城区,311
井陉县,311
正定县,311
行唐县,311
灵寿县,311
高邑县,311
深泽县,311
赞皇县,311
无极县,311
平山县,311
元氏县,311
赵县,311
辛集市,311
晋州市,311
新乐市,311
唐山市,315
唐山市市辖区,315
路南区,315
路北区,315
古冶区,315
开平区,315
丰南区,315
丰润区,315
曹妃甸区,315
滦县,315
滦南县,315
乐亭县,315
迁西县,315
玉田县,315
遵化市,315
迁安市,315
秦皇岛市,335
秦皇岛市市辖区,335
海港区,335
山海关区,335
北戴河区,335
抚宁区,335
青龙满族自治县,335
昌黎县,335
卢龙县,335
邯郸市,310
邯郸市市辖区,310
邯山区,310
丛台区,310
复兴区,310
峰峰矿区,310
肥乡区,310
永年区,310
临漳县,310
成安县,310
大名县,310
涉县,310
磁县,310
邱县,310
鸡泽县,310
广平县,310
馆陶县,310
魏县,310
曲周县,310
武安市,310
邢台市,319
邢台市市辖区,319
桥东区,319
桥西区,319
邢台县,319
临城县,319
内丘县,319
柏乡县,319
隆尧县,319
任县,319
南和县,319
宁晋县,319
巨鹿县,319
新河县,319
广宗县,319
平乡县,319
威县,319
清河县,319
临西县,319
南宫市,319
沙河市,319
保定市,312
保定市市辖区,312
竞秀区,312
莲池区,312
满城区,312
清苑区,312
徐水区,312
涞水县,312
阜平县,312
定兴县,312
唐县,312
高阳县,312
容城县,312
涞源县,312
望都县,312
安新县,312
易县,312
曲阳县,312
蠡县,312
顺平县,312
博野县,312
雄县,312
涿州市,312
定州市,312
安国市,312
高碑店市,312
张家口市,313
张家口市市辖区,313
桥东区,313
桥西区,313
宣化区,313
下花园区,313
万全区,313
崇礼区,313
张北县,313
康保县,313
沽源县,313
尚义县,313
蔚县,313
阳原县,313
怀安县,313
怀来县,313
涿鹿县,313
赤城县,313
承德市,314
承德市市辖区,314
双桥区,314
双滦区,314
鹰手营子矿区,314
承德县,314
兴隆县,314
滦平县,314
隆化县,314
丰宁满族自治县,314
宽城满族自治县,314
围场满族蒙古族自治县,314
平泉市,314
沧州市,317
沧州市市辖区,317
新华区,317
运河区,317
沧县,317
青县,317
东光县,317
海兴县,317
盐山县,317
肃宁县,317
南皮县,317
吴桥县,317
献县,317
孟村回族自治县,317
泊头市,317
任丘市,317
黄骅市,317
河间市,317
廊坊市,316
廊坊市市辖区,316
安次区,316
广阳区,316
固安县,316
永清县,316
香河县,316
大城县,316
文安县,316
大厂回族自治县,316
霸州市,316
三河市,316
衡水市,318
衡水市市辖区,318
桃城区,318
冀州区,318
枣强县,318
武邑县,318
武强县,318
饶阳县,318
安平县,318
故城县,318
景县,318
阜城县,318
深州市,318
山西省,
太原市,351
太原市市辖区,351
小店区,351
迎泽区,351
杏花岭区,351
尖草坪区,351
万柏林区,351
晋源区,351
清徐县,351
阳曲县,351
娄烦县,351
古交市,351
大同市,352
大同市市辖区,352
城区,352
矿区,352
南郊区,352
新荣区,352
阳高县,352
天镇县,352
广灵县,352
灵丘县,352
浑源县,352
左云县,352
大同县,352
阳泉市,353
阳泉市市辖区,353
城区,353
矿区,353
郊区,353
平定县,353
盂县,353
长治市,355
长治市市辖区,355
城区,355
郊区,355
长治县,355
襄垣县,355
屯留县,355
平顺县,355
黎城县,355
壶关县,355
长子县,355
武乡县,355
沁县,355
沁源县,355
潞城市,355
晋城市,356
晋城市市辖区,356
城区,356
沁水县,356
阳城县,356
陵川县,356
泽州县,356
高平市,356
朔州市,349
朔州市市辖区,349
朔城区,349
平鲁区,349
山阴县,349
应县,349
右玉县,349
怀仁县,349
晋中市,354
晋中市市辖区,354
榆次区,354
榆社县,354
左权县,354
和顺县,354
昔阳县,354
寿阳县,354
太谷县,354
祁县,354
平遥县,354
灵石县,354
介休市,354
运城市,359
运城市市辖区,359
盐湖区,359
临猗县,359
万荣县,359
闻喜县,359
稷山县,359
新绛县,359
绛县,359
垣曲县,359
夏县,359
平陆县,359
芮城县,359
永济市,359
河津市,359
忻州市,350
忻州市市辖区,350
忻府区,350
定襄县,350
五台县,350
代县,350
繁峙县,350
宁武县,350
静乐县,350
神池县,350
五寨县,350
岢岚县,350
河曲县,350
保德县,350
偏关县,350
原平市,350
临汾市,357
临汾市市辖区,357
尧都区,357
曲沃县,357
翼城县,357
襄汾县,357
洪洞县,357
古县,357
安泽县,357
浮山县,357
吉县,357
乡宁县,357
大宁县,357
隰县,357
永和县,357
蒲县,357
汾西县,357
侯马市,357
霍州市,357
吕梁市,358
吕梁市市辖区,358
离石区,358
文水县,358
交城县,358
兴县,358
临县,358
柳林县,358
石楼县,358
岚县,358
方山县,358
中阳县,358
交口县,358
孝义市,358
汾阳市,358
内蒙古自治区,
呼和浩特市,471
呼和浩特市市辖区,471
新城区,471
回民区,471
玉泉区,471
赛罕区,471
土默特左旗,471
托克托县,471
和林格尔县,471
清水河县,471
武川县,471
包头市,472
包头市市辖区,472
东河区,472
昆都仑区,472
青山区,472
石拐区,472
白云鄂博矿区,472
九原区,472
土默特右旗,472
固阳县,472
达尔罕茂明安联合旗,472
乌海市,473
乌海市市辖区,473
海勃湾区,473
海南区,473
乌达区,473
赤峰市,476
赤峰市市辖区,476
红山区,476
元宝山区,476
松山区,476
阿鲁科尔沁旗,476
巴林左旗,476
巴林右旗,476
林西县,476
克什克腾旗,476
翁牛特旗,476
喀喇沁旗,476
宁城县,476
敖汉旗,476
通辽市,475
通辽市市辖区,475
科尔沁区,475
科尔沁左翼中旗,475
科尔沁左翼后旗,475
开鲁县,475
库伦旗,475
奈曼旗,475
扎鲁特旗,475
霍林郭勒市,475
鄂尔多斯市,477
鄂尔多斯市市辖区,477
东胜区,477
康巴什区,477
达拉特旗,477
准格尔旗,477
鄂托克前旗,477
鄂托克旗,477
杭锦旗,477
乌审旗,477
伊金霍洛旗,477
呼伦贝尔市,470
呼伦贝尔市市辖区,470
海拉尔区,470
扎赉诺尔区,470
阿荣旗,470
莫力达瓦达斡尔族自治旗,470
鄂伦春自治旗,470
鄂温克族自治旗,470
陈巴尔虎旗,470
新巴尔虎左旗,470
新巴尔虎右旗,470
满洲里市,470
牙克石市,470
扎兰屯市,470
额尔古纳市,470
根河市,470
巴彦淖尔市,478
巴彦淖尔市市辖区,478
临河区,478
五原县,478
磴口县,478
乌拉特前旗,478
乌拉特中旗,478
乌拉特后旗,478
杭锦后旗,478
乌兰察布市,474
乌兰察布市市辖区,474
集宁区,474
卓资县,474
化德县,474
商都县,474
兴和县,474
凉城县,474
察哈尔右翼前旗,474
察哈尔右翼中旗,474
察哈尔右翼后旗,474
四子王旗,474
丰镇市,474
兴安盟,482
乌兰浩特市,482
阿尔山市,482
科尔沁右翼前旗,482
科尔沁右翼中旗,482
扎赉特旗,482
突泉县,482
锡林郭勒盟,479
二连浩特市,479
锡林浩特市,479
阿巴嘎旗,479
苏尼特左旗,479
苏尼特右旗,479
东乌珠穆沁旗,479
西乌珠穆沁旗,479
太仆寺旗,479
镶黄旗,479
正镶白旗,479
正蓝旗,479
多伦县,479
阿拉善盟,483
